CustomerID,CustomerName,Segment,RegionID,JoinDate,CustomerTier
C0119,Vihaan Patel,Consumer,R07,2022-10-26,Standard
C0120,Isha Mishra,Consumer,R04,2024-08-01,Standard
C0121,Meera Singh,Consumer,R06,2024-03-12,Standard
C0122,Vivek Sharma,Consumer,R07,2022-10-23,Silver
C0123,Aarav Joshi,Small Business,R03,2022-07-22,Standard
C0124,Aditya Kumar,Consumer,R01,2022-03-02,Standard
C0125,Aarav Gupta,Small Business,R02,2024-08-03,Standard
C0126,Ananya Sharma,Consumer,R03,2024-08-20,Silver
C0127,Karan Gupta,Consumer,R06,2025-08-30,Gold
C0128,Isha Joshi,Corporate,R07,2025-03-30,Gold
C0129,Ankit Yadav,Corporate,R01,2022-11-27,Silver
C0130,Ananya Singh,Consumer,R04,2022-12-04,Silver
C0131,Kabir Kumar,Consumer,R03,2025-08-20,Silver
C0132,Vivek Patel,Corporate,R02,2025-09-23,Silver
C0133,Ankit Mishra,Consumer,R01,2023-10-01,Standard
C0134,Karan Verma,Small Business,R03,2022-10-02,Standard
C0135,Aarav Malhotra,Small Business,R08,2025-04-02,Standard
C0136,Rohan Mehta,Corporate,R03,2022-11-15,Gold
C0137,Pooja Gupta,Consumer,R04,2023-08-12,Silver
C0138,Arjun Malhotra,Corporate,R05,2023-05-19,Silver
C0139,Priya Joshi,Consumer,R03,2023-01-22,Standard
C0140,Ananya Gupta,Consumer,R08,2024-05-19,Standard
C0141,Priya Patel,Consumer,R08,2024-04-12,Standard
C0142,Meera Singh,Consumer,R03,2024-10-11,Standard
C0143,Aditi Kumar,Small Business,R04,2023-08-26,Gold
C0144,Aarav Gupta,Corporate,R03,2023-11-22,Silver
C0145,Simran Gupta,Corporate,R03,2023-05-09,Standard
C0146,Sneha Kumar,Consumer,R01,2023-05-05,Gold
C0147,Vihaan Joshi,Consumer,R05,2023-12-22,Standard
C0148,Pooja Sharma,Consumer,R04,2025-01-01,Platinum
C0149,Arjun Yadav,Small Business,R01,2023-05-24,Standard
C0150,Aarav Kapoor,Consumer,R03,2023-01-25,Standard
C0151,Kabir Yadav,Small Business,R07,2022-10-22,Standard
C0152,Vihaan Gupta,Consumer,R02,2025-10-24,Standard
C0153,Ankit Patel,Consumer,R01,2024-03-06,Standard
C0154,Ananya Singh,Corporate,R04,2024-05-14,Silver
C0155,Ananya Yadav,Consumer,R08,2023-07-03,Gold
C0156,Arjun Kapoor,Small Business,R03,2023-10-11,Gold
C0157,Karan Kapoor,Small Business,R05,2023-07-22,Standard
C0158,Meera Joshi,Consumer,R06,2025-04-25,Silver
C0159,Rohan Kumar,Consumer,R02,2024-05-02,Standard
C0160,Vivek Kapoor,Corporate,R06,2024-02-09,Standard
C0161,Kabir Yadav,Small Business,R03,2023-03-21,Silver
C0162,Sneha Singh,Consumer,R05,2022-12-29,Silver
C0163,Aditi Kapoor,Corporate,R05,2022-05-03,Standard
C0164,Karan Mehta,Corporate,R04,2025-04-26,Standard
C0165,Rahul Singh,Corporate,R01,2024-01-12,Platinum
C0166,Isha Gupta,Consumer,R07,2023-11-11,Standard
C0167,Sneha Yadav,Corporate,R03,2023-02-24,Standard
C0168,Simran Kapoor,Small Business,R02,2025-06-29,Silver
C0169,Ananya Patel,Consumer,R01,2025-09-20,Standard
C0170,Priya Malhotra,Consumer,R05,2022-04-02,Standard
C0171,Ananya Malhotra,Small Business,R05,2022-03-04,Standard
C0172,Riya Malhotra,Consumer,R01,2023-05-27,Gold
C0173,Sneha Kapoor,Small Business,R04,2025-03-08,Silver
C0174,Simran Gupta,Consumer,R02,2025-04-23,Silver
C0175,Pooja Malhotra,Consumer,R05,2025-05-13,Platinum
C0176,Sneha Sharma,Small Business,R02,2024-02-11,Gold
C0177,Simran Verma,Consumer,R05,2025-05-22,Standard
C0178,Aditi Singh,Consumer,R03,2022-09-13,Standard
C0179,Rahul Yadav,Consumer,R08,2022-05-15,Silver
C0180,Vivek Joshi,Corporate,R01,2024-05-24,Silver
C0181,Pooja Malhotra,Consumer,R03,2024-04-01,Silver
C0182,Pooja Patel,Consumer,R01,2022-03-29,Silver
C0183,Meera Malhotra,Small Business,R08,2024-09-14,Standard
C0184,Aarav Kumar,Consumer,R07,2025-05-15,Standard
C0185,Priya Singh,Corporate,R03,2025-02-26,Standard
C0186,Ankit Sharma,Consumer,R05,2024-04-02,Standard
C0187,Isha Patel,Corporate,R06,2024-10-23,Standard
C0188,Arjun Kapoor,Consumer,R05,2024-08-31,Silver
C0189,Rahul Sharma,Small Business,R04,2024-07-22,Silver
C0190,Kabir Kapoor,Consumer,R03,2022-05-01,Standard
C0191,Ankit Joshi,Consumer,R01,2025-11-09,Standard
C0192,Pooja Gupta,Consumer,R07,2024-11-27,Silver
C0193,Rahul Mishra,Consumer,R07,2025-09-26,Standard
C0194,Rahul Mishra,Consumer,R05,2024-10-04,Silver
C0195,Ankit Gupta,Consumer,R03,2024-07-13,Gold
C0196,Aditi Mishra,Corporate,R03,2023-10-07,Gold
C0197,Vivek Kapoor,Consumer,R06,2023-12-15,Silver
C0198,Kabir Kapoor,Consumer,R07,2024-05-09,Silver
C0199,Ananya Singh,Corporate,R07,2022-01-21,Standard
C0200,Kabir Singh,Corporate,R06,2022-08-30,Standard
C0201,Arjun Verma,Consumer,R05,2023-03-31,Standard
C0202,Kabir Patel,Consumer,R01,2024-08-20,Platinum
C0203,Sneha Patel,Consumer,R02,2023-09-13,Standard
C0204,Kabir Mishra,Corporate,R07,2022-10-30,Standard
C0205,Vihaan Sharma,Corporate,R05,2024-03-13,Gold
C0206,Pooja Patel,Consumer,R01,2024-08-21,Platinum
C0207,Meera Yadav,Corporate,R01,2022-03-10,Gold
C0208,Sneha Mishra,Corporate,R05,2025-02-26,Standard
C0209,Aditya Patel,Corporate,R01,2022-07-15,Standard
C0210,Simran Kumar,Small Business,R02,2022-05-20,Standard
C0211,Ankit Mehta,Consumer,R05,2022-10-10,Standard
C0212,Aditi Joshi,Consumer,R05,2022-11-08,Standard
C0213,Vihaan Yadav,Consumer,R05,2024-01-16,Standard
C0214,Vivek Mishra,Consumer,R02,2022-10-04,Platinum
C0215,Simran Yadav,Consumer,R05,2022-03-02,Standard
C0216,Pooja Singh,Small Business,R02,2025-09-04,Silver
C0217,Kabir Patel,Consumer,R03,2022-02-21,Silver
C0218,Rohan Mehta,Consumer,R06,2022-06-02,Standard
C0219,Priya Mehta,Consumer,R05,2025-08-27,Silver
C0220,Arjun Mehta,Small Business,R07,2023-06-28,Standard
C0221,Kabir Kumar,Consumer,R05,2023-07-21,Standard
C0222,Neha Mehta,Consumer,R05,2025-11-13,Silver
C0223,Vihaan Mishra,Consumer,R01,2023-09-14,Standard
C0224,Simran Kumar,Consumer,R03,2025-04-15,Platinum
C0225,Riya Kapoor,Small Business,R03,2025-10-17,Standard
C0226,Riya Verma,Small Business,R03,2022-11-10,Silver
C0227,Pooja Sharma,Consumer,R08,2024-03-17,Standard
C0228,Ananya Joshi,Small Business,R03,2024-04-27,Standard
C0229,Aditya Malhotra,Corporate,R07,2022-04-07,Standard
C0230,Sneha Kumar,Small Business,R05,2024-05-30,Silver
C0231,Aditya Mehta,Consumer,R06,2025-05-21,Gold
C0232,Rohan Mishra,Consumer,R04,2024-04-08,Gold
C0233,Aditi Mehta,Consumer,R05,2022-05-17,Silver
C0234,Arjun Malhotra,Corporate,R04,2024-10-26,Gold
C0235,Isha Patel,Consumer,R02,2024-10-07,Silver
C0236,Vihaan Patel,Consumer,R06,2022-04-19,Silver
C0237,Ankit Mehta,Consumer,R03,2023-07-01,Silver
C0238,Aarav Joshi,Corporate,R01,2024-11-28,Silver
C0239,Aditya Verma,Consumer,R05,2023-10-24,Gold
C0240,Ankit Gupta,Corporate,R02,2023-03-01,Standard
C0241,Meera Kumar,Small Business,R08,2023-09-22,Gold
C0242,Kabir Malhotra,Consumer,R08,2022-09-18,Silver
C0243,Aditya Mehta,Corporate,R07,2025-12-20,Standard
C0244,Priya Singh,Consumer,R03,2022-03-28,Standard
C0245,Kabir Patel,Small Business,R01,2023-04-10,Standard
C0246,Kabir Gupta,Consumer,R08,2022-03-17,Silver
C0247,Aditya Kapoor,Corporate,R03,2023-04-16,Gold
C0248,Aditya Sharma,Corporate,R08,2023-02-18,Standard
C0249,Arjun Sharma,Small Business,R08,2024-04-04,Gold
C0250,Aarav Sharma,Corporate,R07,2024-06-13,Gold
C0251,Priya Malhotra,Consumer,R03,2023-12-27,Standard
C0252,Arjun Sharma,Corporate,R03,2023-04-02,Gold
C0253,Priya Mishra,Small Business,R07,2025-08-01,Platinum
C0254,Meera Kumar,Consumer,R03,2025-06-16,Silver
C0255,Priya Kumar,Consumer,R02,2023-10-15,Gold
C0256,Priya Sharma,Small Business,R05,2023-11-03,Platinum
C0257,Sneha Joshi,Corporate,R08,2025-10-27,Silver
C0258,Neha Joshi,Corporate,R05,2023-05-10,Standard
C0259,Riya Mishra,Consumer,R05,2024-12-04,Gold
C0260,Neha Patel,Corporate,R01,2025-11-25,Silver
C0261,Aarav Sharma,Consumer,R05,2025-06-24,Silver
C0262,Isha Joshi,Corporate,R08,2023-08-20,Standard
C0263,Aditya Malhotra,Consumer,R01,2023-03-26,Gold
C0264,Riya Verma,Corporate,R04,2023-04-30,Standard
C0265,Sneha Malhotra,Small Business,R07,2023-10-08,Gold
C0266,Karan Joshi,Consumer,R06,2023-09-12,Standard
C0267,Vihaan Malhotra,Small Business,R05,2024-11-07,Standard
C0268,Aarav Mishra,Consumer,R05,2023-10-24,Standard
C0269,Aditya Yadav,Small Business,R03,2024-01-28,Standard
C0270,Pooja Mehta,Corporate,R03,2022-10-16,Silver
C0271,Simran Verma,Consumer,R06,2025-12-08,Gold
C0272,Neha Joshi,Corporate,R06,2023-12-22,Gold
C0273,Aarav Kumar,Small Business,R07,2023-09-30,Standard
C0274,Isha Verma,Consumer,R07,2022-08-23,Standard
C0275,Aditi Patel,Consumer,R04,2023-02-20,Gold
C0276,Karan Mehta,Corporate,R04,2024-07-26,Gold
C0277,Rahul Singh,Corporate,R06,2023-05-14,Standard
C0278,Karan Singh,Corporate,R05,2024-08-31,Silver
C0279,Kabir Kapoor,Corporate,R05,2023-09-26,Standard
C0280,Aarav Singh,Consumer,R06,2024-10-16,Gold
C0281,Priya Yadav,Corporate,R07,2022-04-25,Silver
C0282,Sneha Joshi,Consumer,R03,2024-07-20,Standard
C0283,Simran Sharma,Consumer,R03,2023-11-05,Standard
C0284,Pooja Gupta,Consumer,R01,2025-06-11,Gold
C0285,Aditi Joshi,Consumer,R05,2024-10-31,Standard
C0286,Aditya Yadav,Consumer,R01,2022-07-25,Standard
C0287,Arjun Mishra,Consumer,R04,2022-09-04,Silver
C0288,Kabir Sharma,Corporate,R05,2024-01-28,Standard
C0289,Rahul Malhotra,Consumer,R03,2025-02-24,Standard
C0290,Neha Singh,Consumer,R05,2022-05-27,Gold
C0291,Karan Mehta,Consumer,R01,2022-04-28,Gold
C0292,Vihaan Kumar,Consumer,R01,2025-11-06,Gold
C0293,Kabir Mehta,Consumer,R07,2023-02-16,Gold
C0294,Isha Kapoor,Consumer,R03,2022-12-29,Silver
C0295,Ananya Sharma,Corporate,R01,2022-05-17,Gold
C0296,Ankit Malhotra,Corporate,R04,2025-04-13,Standard
C0297,Isha Mehta,Corporate,R06,2025-08-05,Silver
C0298,Meera Mehta,Consumer,R02,2024-08-15,Platinum
C0299,Neha Kumar,Consumer,R05,2022-01-19,Standard
C0300,Priya Kapoor,Small Business,R01,2022-07-14,Standard
C0301,Karan Mehta,Consumer,R01,2022-11-26,Silver
C0302,Sneha Joshi,Consumer,R04,2022-06-24,Standard
C0303,Kabir Mehta,Consumer,R05,2024-09-28,Standard
C0304,Riya Verma,Consumer,R05,2023-03-25,Gold
C0305,Aditi Verma,Consumer,R06,2024-08-03,Platinum
C0306,Vihaan Sharma,Consumer,R08,2025-10-09,Standard
C0307,Sneha Kumar,Corporate,R04,2022-05-21,Standard
C0308,Ankit Singh,Consumer,R03,2024-01-28,Standard
C0309,Isha Singh,Corporate,R06,2024-07-18,Gold
C0310,Aditya Yadav,Corporate,R03,2022-04-03,Standard
C0311,Arjun Singh,Corporate,R03,2022-08-27,Standard
C0312,Riya Singh,Corporate,R01,2022-07-24,Standard
C0313,Priya Kumar,Small Business,R01,2023-07-14,Standard
C0314,Simran Malhotra,Consumer,R08,2025-12-27,Silver
C0315,Simran Verma,Consumer,R07,2022-09-02,Gold
C0316,Ankit Kapoor,Consumer,R05,2024-04-11,Silver
C0317,Neha Mehta,Corporate,R03,2025-09-02,Silver
C0318,Rohan Patel,Small Business,R02,2024-07-13,Standard
C0319,Aditya Singh,Consumer,R01,2022-10-22,Silver
C0320,Ankit Yadav,Small Business,R03,2023-10-02,Silver
C0321,Aditi Gupta,Consumer,R05,2024-05-05,Standard
C0322,Meera Singh,Small Business,R05,2025-07-29,Silver
C0323,Rohan Gupta,Consumer,R05,2022-01-17,Standard
C0324,Arjun Singh,Consumer,R03,2022-03-12,Gold
C0325,Kabir Gupta,Consumer,R08,2025-07-16,Standard
C0326,Ananya Sharma,Consumer,R06,2025-09-10,Platinum
C0327,Meera Gupta,Consumer,R05,2022-11-01,Standard
C0328,Isha Verma,Consumer,R05,2024-10-27,Gold
C0329,Sneha Sharma,Corporate,R03,2025-08-30,Silver
C0330,Vihaan Sharma,Consumer,R03,2024-03-27,Gold
C0331,Vihaan Mishra,Consumer,R03,2025-01-31,Standard
C0332,Ananya Singh,Corporate,R06,2024-03-31,Silver
C0333,Rohan Gupta,Corporate,R01,2022-07-12,Gold
C0334,Vihaan Patel,Consumer,R01,2023-06-13,Standard
C0335,Rohan Mishra,Consumer,R01,2022-06-20,Standard
C0336,Aditya Sharma,Consumer,R01,2022-09-08,Silver
C0337,Simran Yadav,Consumer,R07,2025-11-11,Silver
C0338,Aditya Patel,Corporate,R05,2025-05-15,Standard
C0339,Rahul Mishra,Consumer,R04,2023-06-25,Standard
C0340,Sneha Singh,Consumer,R01,2023-02-20,Standard
C0341,Vihaan Malhotra,Corporate,R04,2024-03-04,Gold
C0342,Aditya Joshi,Consumer,R04,2025-11-04,Silver
C0343,Sneha Yadav,Consumer,R02,2025-03-13,Gold
C0344,Rahul Verma,Consumer,R03,2022-01-25,Platinum
C0345,Aarav Yadav,Small Business,R03,2023-10-30,Standard
C0346,Aditi Kapoor,Consumer,R05,2025-01-01,Standard
C0347,Riya Joshi,Corporate,R05,2023-09-24,Standard
C0348,Rohan Mehta,Consumer,R01,2025-01-21,Standard
C0349,Rohan Kumar,Consumer,R03,2023-05-20,Platinum
C0350,Ananya Kumar,Corporate,R05,2022-12-02,Silver
C0351,Isha Kumar,Small Business,R04,2023-03-01,Standard
C0352,Ankit Mehta,Corporate,R07,2023-05-14,Standard
C0353,Vihaan Verma,Corporate,R05,2025-10-19,Silver
C0354,Pooja Yadav,Small Business,R02,2024-08-04,Silver
C0355,Ananya Kapoor,Consumer,R01,2023-09-22,Standard
C0356,Ankit Verma,Consumer,R05,2025-05-07,Platinum
C0357,Rohan Gupta,Corporate,R01,2023-12-19,Silver
C0358,Ananya Joshi,Consumer,R05,2025-12-07,Standard
C0359,Rahul Patel,Corporate,R08,2022-12-05,Gold
C0360,Vihaan Yadav,Small Business,R05,2023-10-21,Standard
C0361,Aditya Mehta,Consumer,R03,2024-08-19,Gold
C0362,Sneha Malhotra,Consumer,R05,2023-03-05,Platinum
C0363,Aarav Kumar,Corporate,R04,2024-06-17,Silver
C0364,Simran Sharma,Consumer,R05,2022-05-19,Gold
C0365,Rohan Malhotra,Corporate,R08,2024-07-30,Standard
C0366,Simran Malhotra,Consumer,R03,2023-06-26,Platinum
C0367,Aarav Joshi,Corporate,R08,2022-02-26,Silver
C0368,Simran Mehta,Consumer,R07,2025-06-09,Silver
C0369,Aarav Kapoor,Corporate,R02,2023-10-20,Gold
C0370,Ankit Malhotra,Consumer,R01,2023-03-11,Platinum
C0371,Isha Singh,Corporate,R01,2023-01-19,Gold
C0372,Simran Verma,Consumer,R01,2023-07-14,Standard
C0373,Aditya Yadav,Corporate,R01,2022-07-13,Platinum
C0374,Rahul Yadav,Small Business,R05,2023-06-18,Silver
C0375,Karan Verma,Consumer,R01,2023-06-02,Platinum
C0376,Neha Patel,Consumer,R03,2023-12-17,Silver
C0377,Rahul Singh,Consumer,R07,2024-01-21,Standard
C0378,Karan Mishra,Corporate,R01,2022-07-04,Standard
C0379,Riya Kapoor,Corporate,R06,2022-10-19,Silver
C0380,Rohan Sharma,Consumer,R03,2025-09-20,Gold
C0381,Rahul Patel,Consumer,R01,2024-01-02,Standard
C0382,Sneha Gupta,Consumer,R05,2022-04-26,Silver
C0383,Aditi Patel,Corporate,R05,2024-04-04,Standard
C0384,Vivek Mishra,Consumer,R07,2024-12-08,Gold
C0385,Ananya Yadav,Small Business,R06,2023-11-16,Standard
C0386,Vihaan Mehta,Consumer,R06,2022-03-23,Standard
C0387,Vivek Kapoor,Corporate,R03,2024-04-13,Standard
C0388,Simran Yadav,Consumer,R02,2022-11-29,Standard
C0389,Arjun Verma,Consumer,R06,2023-07-11,Silver
C0390,Simran Gupta,Corporate,R06,2022-12-01,Standard
C0391,Vivek Singh,Corporate,R08,2023-06-16,Standard
C0392,Vivek Kumar,Small Business,R03,2022-08-09,Platinum
C0393,Rohan Verma,Consumer,R03,2023-09-27,Gold
C0394,Aarav Joshi,Consumer,R06,2022-11-19,Standard
C0395,Pooja Sharma,Corporate,R03,2022-01-03,Platinum
C0396,Priya Verma,Consumer,R08,2022-07-25,Standard
C0397,Kabir Mishra,Consumer,R07,2022-02-09,Silver
C0398,Pooja Kumar,Consumer,R03,2022-02-28,Silver
C0399,Neha Sharma,Consumer,R06,2024-08-08,Standard
C0400,Kabir Kumar,Small Business,R06,2023-07-28,Standard
C0401,Isha Sharma,Consumer,R01,2023-10-06,Standard
C0402,Ananya Kapoor,Consumer,R07,2024-04-22,Standard
C0403,Priya Patel,Consumer,R04,2025-02-19,Silver
C0404,Neha Sharma,Consumer,R07,2023-09-11,Standard
C0405,Kabir Gupta,Consumer,R03,2022-04-06,Standard
C0406,Karan Malhotra,Consumer,R07,2025-12-08,Standard
C0407,Ananya Singh,Consumer,R03,2025-06-12,Standard
C0408,Priya Gupta,Corporate,R01,2024-06-16,Silver
C0409,Ananya Malhotra,Consumer,R07,2024-12-21,Standard
C0410,Isha Mehta,Consumer,R01,2025-07-03,Gold
C0411,Pooja Kumar,Small Business,R03,2023-07-15,Standard
C0412,Riya Kumar,Corporate,R08,2024-06-23,Standard
C0413,Karan Kumar,Consumer,R08,2022-12-14,Silver
C0414,Rahul Yadav,Consumer,R05,2023-11-02,Standard
C0415,Priya Malhotra,Consumer,R05,2025-02-21,Silver
C0416,Rohan Singh,Corporate,R04,2022-11-13,Silver
C0417,Priya Mishra,Small Business,R03,2023-12-20,Standard
C0418,Rahul Malhotra,Corporate,R03,2024-12-07,Standard
C0419,Pooja Mishra,Consumer,R05,2025-12-03,Standard
C0420,Riya Mehta,Corporate,R06,2025-03-05,Standard
C0421,Ankit Kumar,Consumer,R06,2025-05-09,Standard
C0422,Rohan Joshi,Consumer,R06,2022-09-07,Standard
C0423,Riya Kapoor,Consumer,R01,2022-11-10,Standard
C0424,Pooja Malhotra,Small Business,R04,2025-10-23,Silver
C0425,Isha Mishra,Consumer,R01,2025-12-23,Silver
C0426,Ananya Sharma,Corporate,R05,2024-03-17,Silver
C0427,Sneha Mehta,Consumer,R04,2025-08-30,Standard
C0428,Simran Malhotra,Consumer,R07,2025-10-10,Standard
C0429,Aditi Verma,Consumer,R03,2023-04-30,Gold
C0430,Isha Sharma,Consumer,R01,2025-05-19,Silver
C0431,Isha Gupta,Corporate,R01,2022-02-13,Gold
C0432,Rohan Kapoor,Consumer,R06,2023-07-25,Standard
C0433,Aditi Singh,Corporate,R05,2023-08-06,Silver
C0434,Aditi Sharma,Corporate,R01,2025-01-20,Silver
C0435,Ankit Kapoor,Small Business,R01,2025-07-12,Standard
C0436,Sneha Singh,Consumer,R05,2024-06-13,Standard
C0437,Priya Mehta,Consumer,R01,2022-08-08,Silver
C0438,Pooja Patel,Consumer,R07,2024-07-13,Standard
C0439,Vihaan Malhotra,Small Business,R05,2023-02-05,Standard
